SH,LIBELLES,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Ensemble,TOTAL,3145.8999999999996,3722.6000000000004,3211.6000000000004,4907.7,5265.299999999999,4650.6,5553.5,5835.1,5891.0,7218.099999999999
I,Animaux vivants et produits du règne animal,79.0,74.5,90.7,114.7,129.1,148.7,173.7,190.4,192.79999999999998,194.2
II,Produit du règne végétal,44.5,114.79999999999995,-696.8000000000001,225.89999999999998,519.3,477.6,375.29999999999995,324.40000000000003,777.1999999999999,831.3000000000001
III,Graisses et huiles animales ou végétales,63.2,86.89999999999999,61.099999999999994,52.0,76.89999999999999,16.7,11.499999999999996,7.799999999999997,31.900000000000002,166.79999999999998
IV,"Produits des industries alimentaires : boissons, alcool, etc.",206.5,250.2,120.70000000000002,188.5,224.7,160.5,201.2,239.2,311.09999999999997,417.99999999999994
IX,"Bois, charbons de bois et ouvrages en bois",69.4,67.69999999999999,42.3,30.8,41.7,35.2,41.3,42.4,63.5,62.2
V,Produits minéraux,2007.1,2390.3,2689.2999999999997,3226.5,3135.0,2719.5,3188.7,3551.4,2967.8,3846.0
VI,Produits des industries chimiques et connexes,338.8,355.8,447.40000000000003,421.59999999999997,458.3,366.09999999999997,486.3,425.5,497.9,581.8
VII,Matières plastiques et ouvrages en ces matières,62.3,61.8,70.3,75.39999999999999,93.8,96.30000000000001,115.9,119.5,127.9,138.1
VIII,"Peaux, cuirs, pelleteries et ouvrages en ces matières",1.5999999999999999,2.7,2.9000000000000004,3.2,4.3,7.3,10.2,14.700000000000001,21.2,17.3
X,Pâtes de bois ou d'autres matières fibreuses cellulosiques,30.599999999999998,28.299999999999997,33.0,33.2,37.4,41.0,46.5,52.800000000000004,49.300000000000004,42.0
XI,Matières textiles et ouvrages en ces matières,-235.7,-200.40000000000003,-235.40000000000003,-115.0,-84.2,-88.19999999999999,-31.5,-125.10000000000002,-161.39999999999998,-22.19999999999999
XII,"Chaussures, coiffures, parapluie, cannes, etc.",15.2,13.8,66.6,25.6,25.7,27.5,26.099999999999998,30.4,27.8,33.099999999999994
XIII,"Ouvrages en pierres, plâtres, ciments, amiante, mica ou matières analogues",73.7,74.89999999999999,78.5,94.2,112.5,153.39999999999998,151.5,163.3,185.6,183.8
XIV,"Perles fines ou de culture, pierres gemmes ou similaires, métaux précieux, plaques ou doubles de métaux précieux et ouvrages en ces matières; bijouterie de fantaisie; monnaies",2.1,1.7,1.1,1.5999999999999999,1.2,0.9,1.5999999999999999,1.9,2.6,2.4
XIX,"Armes, munitions et leurs parties et accessoires",0.4,0.5,0.5,0.3,0.4,0.3,0.4,0.2,0.0,0.4
XV,Métaux communs et ouvrages en ces métaux,165.6,158.5,206.8,170.70000000000002,125.5,126.69999999999999,426.4,393.0,412.8,379.8
XVI,"Machines et appareils, matériel électrique et leurs parties, etc.",75.2,79.0,108.3,147.3,143.8,166.5,111.8,147.9,135.9,130.3
XVII,Matériel de transport,122.1,140.1,134.3,172.5,178.8,163.7,179.4,215.2,197.8,159.3
XVIII,"Instruments et appareils d'optique, de photographie ou de cinématographique, etc.",2.4,2.1,2.7,3.9,3.3,3.3,5.2,3.2,3.6,3.0
XX,Marchandises et produits divers,22.099999999999998,19.7,26.5,34.800000000000004,38.0,27.400000000000002,32.0,36.8,45.9,51.1
XXI,"Objets d'art, de collection ou d'antiquité",-0.1,-0.1,-0.1,-0.1,0.0,0.19999999999999998,0.0,0.0,0.0,-0.1
